r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
0.34,38.8,3.69,27.664829018897272,27.884852518885587,2286.955882352941,247.01730103806364,-223.9867647058821,-0.6384590084773515,83.49667233745886,2.063963185188556,0.44140465778101357,0.2662732627734145,0.22927064656383023,-156.7917724462714,-35.947751044645585,-35.94775104464544,2251.0081313082956,0.015718602760059944,0.25560525066256945
0.68,50.1,3.69,39.82378573328173,40.152713482403655,2370.9417647058826,-354.6881487889269,-427.4260335548154,-0.8940642591399209,98.02813582638063,2.1424768947394632,0.5167778189498847,0.31884262879696856,0.30015350924134393,-128.88743034188315,-38.68601451421549,-38.68601451421549,2332.255750191667,0.016316729111586326,0.25560525066256945
1.02,60.2,3.69,45.220052165355774,45.68022876475117,2045.7679411764707,-1012.2629757785472,-596.8837749838626,-0.9649656559731267,111.5831239289995,2.2322312316006387,0.6029419823366132,0.38234831857283214,0.38848958762143637,-105.56262978203695,-41.00998251225789,-41.00998251225789,2004.7579586642128,0.02004625338320318,0.25560525066256945
1.36,68.2,3.69,47.1898749324394,47.83659686892453,1682.6029411764705,-1017.1963442446662,-774.8382088278776,-0.9893232169869314,121.99476515223276,2.3114414913070753,0.6789838316547923,0.44141548460058516,0.5091934409244824,-88.74430405586183,-45.18801754465278,-45.188017544652304,1637.4149236318183,0.026856019586408444,0.25560525066256945
1.69,72.8,3.69,47.0854040058864,48.01641802550457,1364.2463905325444,-847.288707145236,-801.9017034427554,-0.9910970927460382,128.85491146476164,2.372107871465611,0.7372235566069865,0.4885704898840351,0.6933106625138614,-75.56670304069432,-52.391200949132006,-52.39120094819888,1311.8551895843455,0.03840303431359165,0.25560525066256945
2.03,75.3,3.69,46.74686172344228,47.5740118131738,1114.9195073891626,-642.7548681820117,-677.2693488381326,-0.9794807388862401,131.89011438327174,2.4048288137906733,0.7686356612390464,0.5146939114887614,0.6039263660911555,-63.63735304823534,-38.43227537408068,-38.43227537407243,1076.4872320150903,0.03447089688449854,0.25560525066256945
2.37,76.6,3.69,46.081885335892025,46.876435444687985,927.1730801687763,-490.0056218633159,-535.8033399703779,-0.947567995483665,132.68952596839293,2.4237024597756576,0.7867543613846313,0.529981937176315,0.5874386741379961,-53.05162368926067,-31.164575480887194,-31.164575480885937,896.0085046878904,0.0336124679923589,0.25560525066256945
2.7,77.6,3.69,45.35778372968439,46.08538271512997,786.6157407407408,-389.1012027554332,-409.35439774994126,-0.8811444205004321,130.87435707707056,2.429481094301671,0.792301850529604,0.5346949107164434,0.5769546583366958,-42.71081834260813,-24.642205604140152,-24.642205604140077,761.9735351366007,0.03132686561881119,0.25560525066256945
3.05,78.5,3.69,44.32684676620638,44.954221158863376,662.5842622950819,-309.8662999058928,-312.5418351992546,-0.7834679551365217,126.98801336818445,2.428643580408367,0.7914978371920321,0.534010911707271,0.562991966290982,-32.620012839482214,-18.36480516893717,-18.36480516893717,644.2194571261447,0.02771693536011158,0.25560525066256945
3.38,78.2,3.69,43.58132932151183,44.11988780584103,575.9066568047338,-215.0439960430526,-248.16723011493184,-0.6842887288950843,123.00555707222738,2.4339162870264537,0.7965596355453956,0.5383224203470067,0.5611440648479658,-24.90275630058764,-13.974033896430038,-13.974033896430038,561.9326229083038,0.0242644076623782,0.25560525066256945
