galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
DDO161,0.6,16.0,3.53,6.82,12.59,0.0,426.6666666666667,14.318536936433135,1.6814630635668646,1.6814630635668646,0.10509144147292904
DDO161,0.73,16.6,4.83,8.12,14.22,0.0,377.4794520547946,16.39683471786081,0.20316528213919227,0.20316528213919227,0.01223887241802363
DDO161,0.85,18.6,2.5,9.3,15.27,0.0,407.0117647058824,17.909171288274774,0.6908287117252279,0.6908287117252279,0.03714132858737784
DDO161,0.98,20.0,7.58,10.41,17.04,0.0,408.16326530612247,20.003088923708592,-0.0030889237085922616,0.0030889237085922616,-0.00015444618542961308
DDO161,1.07,21.4,4.03,11.27,18.03,0.0,427.9999999999999,21.296529777184613,0.10347022281538543,0.10347022281538543,0.004835057140905861
DDO161,1.54,28.9,2.74,15.22,22.44,0.0,542.3441558441558,27.21144511174459,1.688554888255407,1.688554888255407,0.05842750478392412
DDO161,2.02,32.9,2.65,18.74,24.92,0.0,535.8465346534653,31.380668768950112,1.519331231049886,1.519331231049886,0.046180280579023895
DDO161,2.49,35.2,2.88,21.52,25.85,0.0,497.6064257028113,33.920600150364436,1.279399849635567,1.279399849635567,0.036346586637374056
DDO161,2.96,37.6,3.05,23.28,26.01,0.0,477.6216216216217,35.300765493934136,2.299234506065865,2.299234506065865,0.06114985388473045
DDO161,3.43,40.6,3.68,24.59,25.36,0.0,480.5714285714286,35.92384249507078,4.676157504929222,4.676157504929222,0.11517629322485767
DDO161,3.9,42.7,3.25,25.62,25.01,0.0,467.5102564102565,36.69686324049271,6.003136759507292,6.003136759507292,0.14058868289244242
DDO161,4.37,45.5,2.99,26.35,24.48,0.0,473.74141876430207,37.239483174732534,8.260516825267466,8.260516825267466,0.1815498203355487
DDO161,4.86,48.9,1.96,27.08,23.7,0.0,492.0185185185185,37.77687160590295,11.123128394097051,11.123128394097051,0.22746683832509307
DDO161,5.34,51.5,1.53,27.81,22.69,0.0,496.6760299625468,38.29869999085808,13.201300009141917,13.201300009141917,0.25633592250761006
DDO161,5.81,53.0,1.86,28.4,21.59,0.0,483.4767641996558,38.74664393188366,14.25335606811634,14.25335606811634,0.2689312465682328
DDO161,6.28,55.0,1.48,28.98,20.86,0.0,481.68789808917194,39.45392892722006,15.546071072779938,15.546071072779938,0.28265583768690794
DDO161,6.75,57.6,0.99,29.57,20.11,0.0,491.52000000000004,40.22109316873312,17.37890683126688,17.37890683126688,0.3017171324872722
DDO161,7.22,59.7,1.19,30.3,19.38,0.0,493.6412742382272,41.15773919070468,18.54226080929532,18.54226080929532,0.31059063332152964
DDO161,7.69,60.5,1.26,31.18,18.7,0.0,475.9752925877763,42.23876206930994,18.261237930690058,18.261237930690058,0.3018386434824803
DDO161,8.16,61.8,1.33,32.06,18.06,0.0,468.0441176470588,43.32741163488959,18.472588365110404,18.472588365110404,0.2989091968464467
DDO161,8.64,62.9,1.35,32.64,17.47,0.0,457.917824074074,44.22573051398941,18.674269486010587,18.674269486010587,0.29688822712258484
DDO161,9.11,63.0,2.09,33.23,16.94,0.0,435.6750823271131,45.11749883736278,17.88250116263722,17.88250116263722,0.2838492248037654
DDO161,9.58,64.5,2.38,33.38,16.44,0.0,434.2640918580376,45.68500389774142,18.814996102258583,18.814996102258583,0.29170536592648966
DDO161,10.05,65.6,1.08,33.38,15.98,0.0,428.1950248756218,46.16777271331298,19.432227286687016,19.432227286687016,0.29622297693120453
DDO161,10.52,67.5,3.22,32.79,15.57,0.0,433.1036121673004,46.26755058472405,21.23244941527595,21.23244941527595,0.3145548061522363
DDO161,10.99,66.8,2.37,32.06,15.18,0.0,406.0272975432211,46.288083549627544,20.511916450372453,20.511916450372453,0.3070646175205457
DDO161,11.46,66.8,0.95,31.18,14.81,0.0,389.3752181500872,46.20429741298041,20.595702587019588,20.595702587019588,0.30831890100328724
DDO161,11.94,66.6,0.96,30.3,14.47,0.0,371.4874371859296,46.14722870034258,20.452771299657414,20.452771299657414,0.3070986681630243
DDO161,12.41,66.8,0.99,29.42,14.16,0.0,359.5680902497985,46.09266878721711,20.70733121278289,20.70733121278289,0.30998998821531276
DDO161,12.9,66.3,0.74,28.69,13.86,0.0,340.7511627906976,46.16199205580274,20.138007944197255,20.138007944197255,0.3037406929743176
DDO161,13.37,66.1,1.31,27.81,13.59,0.0,326.792071802543,46.117305678164435,19.98269432183556,19.98269432183556,0.30231005025469837
