galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
NGC2403,0.16,24.5,2.83,0.0,23.21,0.0,3751.5625,23.21,1.2899999999999991,1.2899999999999991,0.05265306122448976
NGC2403,0.26,35.3,2.46,0.0,35.33,0.0,4792.653846153845,35.33130881847186,-0.03130881847186373,0.03130881847186373,-0.0008869353674748933
NGC2403,0.36,43.2,1.12,1.92,46.97,0.0,5184.000000000001,47.01020934676028,-3.8102093467602742,3.8102093467602742,-0.0881992904342656
NGC2403,0.46,52.0,1.25,2.29,56.68,0.0,5878.260869565217,56.727056884931265,-4.727056884931265,4.727056884931265,-0.09090494009483202
NGC2403,0.56,60.9,2.93,2.64,63.77,0.0,6622.874999999999,63.825347494755,-2.9253474947550018,2.9253474947550018,-0.048035262639655206
NGC2403,0.66,65.8,1.25,3.0,67.56,0.0,6560.060606060605,67.6272584305044,-1.8272584305044006,1.8272584305044006,-0.027769884962072958
NGC2403,0.76,71.7,1.25,3.34,70.83,0.0,6764.328947368422,70.91039255780139,0.7896074421986157,0.7896074421986157,0.011012656097609702
NGC2403,0.86,74.6,1.6,3.68,72.8,0.0,6471.116279069766,72.8977943943454,1.7022056056545978,1.7022056056545978,0.022817769512796217
NGC2403,0.96,74.6,1.03,4.02,74.87,0.0,5797.041666666666,74.98468705371623,-0.3846870537162346,0.3846870537162346,-0.005156662918448185
NGC2403,1.06,76.6,1.12,4.37,77.12,0.0,5535.43396226415,77.2503546434821,-0.6503546434821033,0.6503546434821033,-0.008490269497155395
NGC2403,1.16,78.5,1.6,4.75,79.47,0.0,5312.284482758621,79.61827298141901,-1.118272981419011,1.118272981419011,-0.014245515686866383
NGC2403,1.27,83.4,1.8,5.15,82.18,0.0,5476.818897637796,82.34879670649417,1.0512032935058357,1.0512032935058357,0.012604356037240236
NGC2403,1.36,86.4,1.6,5.51,85.19,0.0,5488.941176470588,85.37745260300159,1.0225473969984193,1.0225473969984193,0.011835039317111334
NGC2403,1.47,87.4,1.41,5.76,87.94,0.0,5196.435374149661,88.1388428763892,-0.7388428763891994,0.7388428763891994,-0.00845357982138672
NGC2403,1.57,90.3,1.41,5.98,90.77,0.0,5193.6878980891715,90.9768526801671,-0.6768526801671015,0.6768526801671015,-0.007495600001850515
NGC2403,1.67,93.3,1.6,6.21,93.98,0.0,5212.508982035928,94.19468628106803,-0.8946862810680329,0.8946862810680329,-0.009589349207588778
NGC2403,1.77,93.3,1.41,6.42,96.86,0.0,4918.016949152542,97.0819778516529,-3.781977851652897,3.781977851652897,-0.04053566829209965
NGC2403,1.87,95.2,1.25,6.61,99.21,0.0,4846.545454545455,99.43918052552941,-4.239180525529406,4.239180525529406,-0.044529207200939135
NGC2403,1.97,97.2,1.6,6.81,101.42,0.0,4795.8578680203045,101.65739974831554,-4.457399748315538,4.457399748315538,-0.04585802210201171
NGC2403,2.08,99.1,2.02,7.01,103.79,0.0,4721.543269230769,104.0352758615501,-4.93527586155011,4.93527586155011,-0.04980096732139365
NGC2403,2.18,98.2,2.02,7.27,106.07,0.0,4423.504587155963,106.32747633414812,-8.127476334148113,8.127476334148113,-0.082764524787659
NGC2403,2.28,98.2,1.6,7.54,106.73,0.0,4229.491228070176,107.00457431151636,-8.804574311516362,8.804574311516362,-0.08965961620688759
NGC2403,2.37,98.2,1.0,7.81,106.19,0.0,4068.8776371308013,106.4854291609365,-8.285429160936502,8.285429160936502,-0.08437300571218434
NGC2403,2.47,97.2,1.12,8.25,105.57,0.0,3825.0364372469635,105.90052796652539,-8.700527966525385,8.700527966525385,-0.08951160459388256
NGC2403,2.57,98.2,1.41,8.77,105.08,0.0,3752.2334630350197,105.45403607064466,-7.254036070644659,7.254036070644659,-0.0738700210859945
NGC2403,2.68,98.2,1.12,9.31,104.39,0.0,3598.2238805970146,104.81308421942764,-6.613084219427634,6.613084219427634,-0.06734301649111643
NGC2403,2.78,98.2,1.6,9.95,103.8,0.0,3468.791366906475,104.28459581160023,-6.084595811600224,6.084595811600224,-0.06196126081059291
NGC2403,2.88,99.1,2.69,10.97,103.16,0.0,3410.003472222222,103.75047432946427,-4.650474329464274,4.650474329464274,-0.04692708707834787
NGC2403,2.98,100.0,2.69,11.96,102.68,0.0,3355.7046979865772,103.38306642573933,-3.3830664257393295,3.3830664257393295,-0.0338306642573933
NGC2403,3.08,102.0,3.16,13.06,102.46,0.0,3377.9220779220777,103.29786843681154,-1.297868436811541,1.297868436811541,-0.012724200360897461
NGC2403,3.19,101.0,3.4,14.06,102.29,0.0,3197.8056426332287,103.26065138080831,-2.260651380808312,2.260651380808312,-0.02238268693869616
NGC2403,3.29,101.0,3.4,15.05,102.51,0.0,3100.607902735562,103.61774473317216,-2.6177447331721595,2.6177447331721595,-0.025918264684872867
NGC2403,3.39,103.0,2.93,16.15,102.82,0.0,3129.4985250737464,104.08942945174032,-1.0894294517403154,1.0894294517403154,-0.010576984968352576
NGC2403,3.49,107.0,2.46,17.15,103.06,0.0,3280.515759312321,104.48787049194313,2.512129508056873,2.512129508056873,0.0234778458696904
NGC2403,3.59,110.0,2.46,18.14,102.95,0.0,3370.473537604457,104.55255666626306,5.447443333736942,5.447443333736942,0.04952221212488129
NGC2403,3.69,112.0,3.4,19.24,103.12,0.0,3399.457994579946,104.92538965742493,7.07461034257507,7.07461034257507,0.0631661637729917
NGC2403,3.79,114.0,5.1,20.24,102.93,0.0,3429.023746701847,104.9388545195926,9.061145480407404,9.061145480407404,0.07948373228427548
NGC2403,3.9,118.0,5.1,21.03,102.5,0.0,3570.25641025641,104.6910628306714,13.308937169328601,13.308937169328601,0.1127876031299034
NGC2403,3.99,118.0,4.85,21.83,101.99,0.0,3489.7243107769423,104.37391681593523,13.626083184064768,13.626083184064768,0.11547528122088786
NGC2403,4.47,118.0,5.36,25.72,99.49,0.0,3114.9888143176736,102.93284775152843,15.067152248471572,15.067152248471572,0.12768773091925062
NGC2403,4.97,121.0,2.57,27.81,97.06,0.0,2945.8752515090546,101.25594087410457,19.744059125895433,19.744059125895433,0.16317404236277216
NGC2403,5.47,124.0,0.22,29.41,94.4,0.0,2810.9689213893967,99.31176247008938,24.688237529910623,24.688237529910623,0.19909868975734374
NGC2403,5.96,125.0,0.88,30.7,91.13,0.0,2621.6442953020132,96.7673380409566,28.232661959043398,28.232661959043398,0.2258612956723472
NGC2403,6.46,126.0,0.45,31.7,87.9,0.0,2457.5851393188855,94.2366262771933,31.763373722806705,31.763373722806705,0.25209026764132303
NGC2403,6.96,126.0,0.55,33.29,84.95,0.0,2281.034482758621,92.23350061661094,33.76649938338906,33.76649938338906,0.2679880903443576
NGC2403,7.45,126.0,0.45,34.99,81.98,0.0,2131.006711409396,90.32908751673023,35.670912483269774,35.670912483269774,0.28310248002595056
NGC2403,7.95,126.0,0.24,36.58,79.11,0.0,1996.9811320754716,88.56090479224908,37.439095207750924,37.439095207750924,0.29713567625199144
NGC2403,8.45,127.0,1.45,38.38,76.42,0.0,1908.7573964497044,87.13000892473073,39.86999107526927,39.86999107526927,0.3139369376005454
NGC2403,8.94,128.0,1.12,39.97,74.09,0.0,1832.6621923937362,86.00600026564392,41.99399973435608,41.99399973435608,0.3280781229246569
NGC2403,9.44,128.0,1.68,41.47,71.75,0.0,1735.5932203389832,84.90949267672302,43.09050732327698,43.09050732327698,0.3366445884631014
NGC2403,9.94,127.0,2.56,42.57,69.58,0.0,1622.6358148893362,83.82006123542611,43.17993876457389,43.17993876457389,0.33999951783129045
NGC2403,10.43,127.0,1.24,43.96,67.61,0.0,1546.4046021093002,83.09262655896379,43.90737344103621,43.90737344103621,0.345727349929419
NGC2403,10.93,128.0,0.21,45.06,65.75,0.0,1498.9935956084173,82.35834138497276,45.64165861502724,45.64165861502724,0.3565754579299003
NGC2403,11.43,130.0,1.13,45.76,64.12,0.0,1478.565179352581,81.63119589915044,48.36880410084956,48.36880410084956,0.37206772385268894
NGC2403,11.92,130.0,2.23,46.15,62.55,0.0,1417.7852348993288,80.80121581847689,49.19878418152311,49.19878418152311,0.3784521860117162
NGC2403,12.42,132.0,2.68,46.65,61.06,0.0,1402.8985507246377,80.12325476708476,51.87674523291524,51.87674523291524,0.39300564570390334
NGC2403,12.92,133.0,2.68,46.95,59.67,0.0,1369.1176470588236,79.4284718632189,53.5715281367811,53.5715281367811,0.40279344463745187
NGC2403,13.42,133.0,3.37,46.75,58.37,0.0,1318.107302533532,78.51862547967015,54.48137452032985,54.48137452032985,0.4096343948896981
NGC2403,13.91,133.0,3.81,46.25,57.26,0.0,1271.6750539180446,77.57335227341217,55.42664772658783,55.42664772658783,0.4167417122299837
NGC2403,14.41,133.0,2.56,45.95,56.12,0.0,1227.5503122831367,76.73309283429782,56.26690716570218,56.26690716570218,0.4230594523737006
NGC2403,14.91,134.0,0.56,45.66,55.05,0.0,1204.2924211938296,75.95644723807287,58.04355276192713,58.04355276192713,0.4331608415069189
NGC2403,15.4,134.0,0.79,45.26,54.06,0.0,1165.9740259740258,75.17378512775603,58.826214872243966,58.826214872243966,0.4390016035242087
NGC2403,15.9,133.0,0.67,44.76,53.11,0.0,1112.5157232704403,74.36464808570187,58.63535191429813,58.63535191429813,0.4408673076263017
NGC2403,16.4,134.0,2.35,44.16,52.26,0.0,1094.878048780488,73.56958364868322,60.43041635131678,60.43041635131678,0.4509732563531103
NGC2403,16.89,134.0,4.13,43.36,51.43,0.0,1063.1142687981053,72.67039795649403,61.32960204350597,61.32960204350597,0.4576835973395968
NGC2403,17.39,136.0,3.91,42.67,50.61,0.0,1063.5997699827487,71.85451982505812,64.14548017494188,64.14548017494188,0.47165794246280796
NGC2403,17.89,136.0,6.38,41.87,49.84,0.0,1033.8736724427054,71.01578717468396,64.98421282531604,64.98421282531604,0.4778250943037944
NGC2403,18.38,135.0,8.39,41.07,49.16,0.0,991.5669205658324,70.23925519106497,64.76074480893503,64.76074480893503,0.47970922080692613
NGC2403,18.88,133.0,7.83,40.27,48.46,0.0,936.917372881356,69.45156201946767,63.54843798053233,63.54843798053233,0.4778078043649047
NGC2403,19.38,134.0,6.26,39.87,47.78,0.0,926.5221878224975,68.91112160914084,65.08887839085916,65.08887839085916,0.4857378984392475
NGC2403,19.87,136.0,5.6,39.87,47.15,0.0,930.8505284348263,68.63959474235445,67.36040525764555,67.36040525764555,0.4952970974826879
NGC2403,20.37,135.0,5.24,39.87,46.52,0.0,894.6980854197349,68.37428684943099,66.62571315056901,66.62571315056901,0.493523801115326
NGC2403,20.87,134.0,3.12,39.87,45.97,0.0,860.3737422137038,68.16127353761675,65.83872646238325,65.83872646238325,0.4913337795700243
