galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC07524,0.35,14.4,2.82,-0.61,15.45,0.0,592.4571428571429,15.462037381923508,-1.062037381923508,1.062037381923508,-0.07375259596691028
UGC07524,0.69,24.4,3.97,-1.22,17.95,0.0,862.8405797101449,18.122067207971227,6.277932792028771,6.277932792028771,0.25729232754216275
UGC07524,1.03,29.2,3.26,-2.04,20.19,0.0,827.8058252427184,20.695654481622928,8.504345518377072,8.504345518377072,0.2912447095334614
UGC07524,1.38,32.9,3.73,-1.72,21.43,0.0,784.3550724637681,22.25916426608552,10.640835733914479,10.640835733914479,0.3234296575657896
UGC07524,1.72,37.8,3.41,3.47,22.82,0.0,830.720930232558,24.240531909965444,13.559468090034553,13.559468090034553,0.35871608703795116
UGC07524,2.07,42.0,3.12,3.53,25.15,0.0,852.1739130434784,26.9673178457663,15.0326821542337,15.0326821542337,0.35792100367223095
UGC07524,2.41,45.1,2.92,4.13,26.82,0.0,843.98755186722,29.1277453298255,15.9722546701745,15.9722546701745,0.35415198825220623
UGC07524,2.76,47.6,2.79,6.88,28.98,0.0,820.9275362318842,32.10886914501493,15.491130854985073,15.491130854985073,0.3254439255248965
UGC07524,3.1,52.3,2.78,9.39,30.06,0.0,882.3516129032256,34.19256546265527,18.10743453734473,18.10743453734473,0.3462224576930159
UGC07524,3.45,57.3,2.78,11.99,30.89,0.0,951.6782608695651,36.27740866997184,21.022591330028156,21.022591330028156,0.36688641064621563
UGC07524,3.79,61.4,2.93,14.78,31.14,0.0,994.7124010554089,38.09725365125917,23.302746348740826,23.302746348740826,0.3795235561684174
UGC07524,4.14,64.5,3.42,16.87,32.08,0.0,1004.8913043478261,40.33424141423324,24.16575858576676,24.16575858576676,0.3746629238103374
UGC07524,4.48,66.4,4.53,18.27,32.77,0.0,984.1428571428572,42.07203971591375,24.327960284086252,24.327960284086252,0.36638494403744354
UGC07524,4.82,66.9,5.46,19.32,33.02,0.0,928.5497925311204,43.28880907369014,23.611190926309867,23.611190926309867,0.3529325997953642
UGC07524,5.17,69.4,4.77,19.78,33.86,0.0,931.5976789168279,44.68697061649326,24.713029383506743,24.713029383506743,0.3560955242580222
UGC07524,5.51,70.2,4.44,19.55,34.37,0.0,894.3811252268603,45.49993403461424,24.70006596538576,24.70006596538576,0.35185279152971166
UGC07524,5.86,70.9,4.24,19.78,34.15,0.0,857.8174061433448,45.957433981420195,24.94256601857981,24.94256601857981,0.35179923862594936
UGC07524,6.2,72.3,4.38,20.48,34.36,0.0,843.1112903225807,46.91075965442213,25.389240345577868,25.389240345577868,0.35116515000799264
UGC07524,6.55,73.9,3.51,21.53,34.78,0.0,833.7725190839697,48.17589862396342,25.724101376036586,25.724101376036586,0.3480933880383841
UGC07524,6.89,75.0,3.22,22.81,35.14,0.0,816.400580551524,49.47758597407244,25.52241402592756,25.52241402592756,0.3402988536790341
UGC07524,7.25,75.5,3.23,24.09,35.58,0.0,786.2413793103449,50.846128089705594,24.653871910294406,24.653871910294406,0.3265413498052239
UGC07524,7.58,77.1,2.98,25.37,36.1,0.0,784.2229551451186,52.22151358797756,24.878486412022433,24.878486412022433,0.3226781635800575
UGC07524,7.94,77.0,2.79,26.77,36.68,0.0,746.7254408060453,53.71677363881556,23.28322636118444,23.28322636118444,0.30237956313226544
UGC07524,8.27,77.0,2.82,28.28,37.11,0.0,716.9286577992746,55.110728147950816,21.889271852049184,21.889271852049184,0.2842762578188206
UGC07524,8.63,78.2,2.93,29.91,37.49,0.0,708.6025492468135,56.55769873787094,21.64230126212906,21.64230126212906,0.2767557706154611
UGC07524,8.97,79.6,3.14,31.07,37.76,0.0,706.3723522853956,57.66803288111859,21.931967118881403,21.931967118881403,0.27552722511157546
UGC07524,9.3,80.3,3.39,32.12,37.98,0.0,693.3430107526881,58.6755506321272,21.6244493678728,21.6244493678728,0.2692957580058879
UGC07524,9.66,81.2,3.66,33.05,38.12,0.0,682.5507246376812,59.58662268273498,21.61337731726502,21.61337731726502,0.2661745975032638
UGC07524,9.99,82.3,3.9,33.75,38.33,0.0,678.007007007007,60.385921770719996,21.91407822928,21.91407822928,0.2662706953739976
UGC07524,10.35,83.8,4.1,34.21,38.96,0.0,678.4966183574879,61.33947193099678,22.460528069003217,22.460528069003217,0.2680253946181768
UGC07524,10.69,79.0,2.78,34.56,38.32,0.0,583.8166510757718,61.383433107163256,17.616566892836744,17.616566892836744,0.22299451763084485
