galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
F574-1,0.47,15.3,4.4,0.25,12.99,0.0,498.0638297872341,12.992405473968244,2.3075945260317567,2.3075945260317567,0.15082317163606251
F574-1,1.41,41.0,4.36,0.88,32.88,0.0,1192.1985815602839,33.1537267998539,7.846273200146101,7.846273200146101,0.19137251707673417
F574-1,2.35,60.7,4.4,1.88,41.13,0.0,1567.868085106383,42.13024326650638,18.56975673349362,18.56975673349362,0.3059267995633216
F574-1,3.29,74.9,4.4,3.41,42.43,0.0,1705.1702127659578,44.95615269234985,29.943847307650152,29.943847307650152,0.39978434322630374
F574-1,4.22,83.0,6.28,5.43,44.37,0.0,1632.4644549763034,48.84224977866196,34.15775022133804,34.15775022133804,0.41153915929322943
F574-1,5.17,86.8,4.4,7.8,46.69,0.0,1457.2998065764023,53.15749006658848,33.64250993341152,33.64250993341152,0.3875865199701788
F574-1,6.11,89.4,4.4,10.44,48.85,0.0,1308.0785597381343,57.200052791398996,32.19994720860101,32.19994720860101,0.36017838040940725
F574-1,7.05,92.5,4.4,13.15,49.34,0.0,1213.6524822695035,59.768205638445465,32.731794361554535,32.731794361554535,0.3538572363411301
F574-1,7.99,94.7,4.4,16.07,50.15,0.0,1122.4142678347935,62.64272708061147,32.05727291938853,32.05727291938853,0.33851396958171626
F574-1,8.92,96.3,4.4,18.98,49.17,0.0,1039.6513452914796,64.0943625163252,32.20563748367479,32.20563748367479,0.33443029578063127
F574-1,9.87,97.8,4.4,21.99,49.76,0.0,969.082066869301,66.83286506212993,30.96713493787007,30.96713493787007,0.3166373715528637
F574-1,10.79,98.8,4.62,25.0,50.33,0.0,904.6746987951807,69.47682535744784,29.32317464255216,29.32317464255216,0.2967932656128761
F574-1,11.8,99.5,4.4,27.82,50.68,0.0,839.0042372881355,71.95464224954358,27.545357750456418,27.545357750456418,0.2768377663362454
F574-1,12.6,99.7,5.14,30.02,50.19,0.0,788.8960317460318,73.33920404756861,26.36079595243139,26.36079595243139,0.2644011630133539
