galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC11820,0.26,16.0,5.09,-0.43,8.55,0.0,984.6153846153845,8.56080603681686,7.43919396318314,7.43919396318314,0.46494962269894624
UGC11820,0.44,18.9,4.44,1.29,13.84,0.0,811.8409090909089,13.968741731917905,4.931258268082093,4.931258268082093,0.2609131358773594
UGC11820,0.61,25.8,3.36,1.97,18.2,0.0,1091.2131147540983,18.42730309052731,7.37269690947269,7.37269690947269,0.28576344610359267
UGC11820,0.79,35.8,3.79,2.55,21.35,0.0,1622.3291139240505,21.745879365627662,14.054120634372335,14.054120634372335,0.39257320207743956
UGC11820,1.01,44.1,7.91,3.22,24.45,0.0,1925.5544554455448,25.149278801161987,18.950721198838014,18.950721198838014,0.4297215691346488
UGC11820,5.26,59.65,0.98,17.11,26.68,0.0,676.449144486692,37.4914877774482,22.1585122225518,22.1585122225518,0.37147547732693714
UGC11820,7.91,69.15,1.23,28.49,24.35,0.0,604.5161188369154,45.622614749625804,23.527385250374202,23.527385250374202,0.3402369522830687
UGC11820,10.52,76.95,0.54,35.7,21.4,0.0,562.8614543726237,51.9120469671247,25.0379530328753,25.0379530328753,0.32537950660006887
UGC11820,13.14,81.25,0.73,35.45,18.93,0.0,502.4020167427702,53.567838880383654,27.682161119616346,27.682161119616346,0.3407035214722012
UGC11820,15.82,84.45,1.31,35.37,17.02,0.0,450.80926042983566,55.58046646481137,28.86953353518863,28.86953353518863,0.3418535646558748
