galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
NGC4010,0.87,39.3,6.6,0.0,32.75,0.0,1775.2758620689654,32.75,6.549999999999997,6.549999999999997,0.1666666666666666
NGC4010,1.74,54.6,5.6,11.53,62.91,0.0,1713.3103448275865,64.25179486142898,-9.651794861428975,9.651794861428975,-0.17677279965987133
NGC4010,2.61,65.5,6.7,13.36,83.12,0.0,1643.7739463601533,84.41035566158428,-18.910355661584276,18.910355661584276,-0.28870772002418743
NGC4010,3.5,83.9,5.2,15.73,93.77,0.0,2011.2028571428575,95.27817138733901,-11.378171387339009,11.378171387339009,-0.1356158687406318
NGC4010,4.37,94.3,6.3,19.72,97.55,0.0,2034.8947368421052,99.71241167936492,-5.412411679364922,5.412411679364922,-0.057395669982660893
NGC4010,5.24,104.0,5.7,22.31,98.14,0.0,2064.12213740458,101.01437202825868,2.985627971741323,2.985627971741323,0.02870796126674349
NGC4010,6.11,115.0,5.1,25.86,98.57,0.0,2164.4844517184943,103.14623296544718,11.853767034552817,11.853767034552817,0.10307623508306797
NGC4010,6.98,127.0,5.1,29.63,99.07,0.0,2310.7449856733524,106.511511522346,20.488488477654002,20.488488477654002,0.16132668092640948
NGC4010,7.85,129.0,5.1,33.19,99.28,0.0,2119.872611464968,110.0649855411693,18.935014458830693,18.935014458830693,0.14678305782039297
NGC4010,8.72,127.0,5.1,36.53,96.65,0.0,1849.655963302752,110.93128381331039,16.068716186689613,16.068716186689613,0.1265253243046426
NGC4010,9.6,124.0,5.1,35.56,93.39,0.0,1601.6666666666667,109.79148931312588,14.20851068687412,14.20851068687412,0.11458476360382355
NGC4010,10.47,122.0,3.9,33.73,90.22,0.0,1421.5854823304678,108.43426823203514,13.565731767964863,13.565731767964863,0.11119452268823658
