galaxy,n_points_abar,chi2_abar,reduced_chi2_abar,rmse_kmps_abar,mae_kmps_abar,mean_abs_residual_kmps_abar,max_abs_residual_kmps_abar,beta_formula_abar,beta_value_abar,rs_kpc_abar,status_abar,source_file_abar,n_points_formula,chi2_formula,reduced_chi2_formula,rmse_kmps_formula,mae_kmps_formula,mean_abs_residual_kmps_formula,max_abs_residual_kmps_formula,beta_formula_formula,beta_value_formula,rs_kpc_formula,status_formula,source_file_formula,delta_chi2,improvement_ratio,classification
UGC00128,22,41262.19921542816,1964.8666293061028,39.35514999470484,38.44853683965224,38.44853683965224,46.054168518431226,median(a_bar),148.5613000584862,5.0,success,data\raw\sparc_csv\UGC00128.csv,22,4166.6969280056965,198.4141394288427,21.59431659087152,18.61375981411924,18.61375981411924,40.46539065872602,median(a_obs),614.8542883806857,5.0,success,data\raw\sparc_csv\UGC00128.csv,37095.50228742247,0.8990190293481075,improved
DDO154,12,53968.22937430347,4906.202670391224,20.12225973440467,18.46463745122104,18.46463745122104,25.909183875854268,median(a_bar),113.39115958443992,5.0,success,data\raw\sparc_csv\DDO154.csv,12,27680.44452871096,2516.4040480646327,13.509603503065684,12.58666196499238,12.58666196499238,17.01679659133699,median(a_obs),524.3666780704755,5.0,success,data\raw\sparc_csv\DDO154.csv,26287.78484559251,0.4870974117618397,improved
UGC05716,12,17304.96300183185,1573.1784547119862,28.80974970807596,28.354279351989664,28.354279351989664,33.394262003037966,median(a_bar),147.90493832820238,5.0,success,data\raw\sparc_csv\UGC05716.csv,12,5066.548169679261,460.5952881526601,13.827337593686568,12.678811397797348,12.678811397797348,17.871315164779908,median(a_obs),730.6248962655602,5.0,success,data\raw\sparc_csv\UGC05716.csv,12238.414832152588,0.7072199363186773,improved
NGC6503,31,13214.723817401837,440.49079391339455,27.935653941901094,26.44746820766386,26.44746820766386,34.54883617337258,median(a_bar),455.9168646864688,5.0,success,data\raw\sparc_csv\NGC6503.csv,31,4091.690690512546,136.38968968375153,14.76589425893768,12.829375049562454,12.829375049562454,33.19533588854031,median(a_obs),1148.844884488449,5.0,success,data\raw\sparc_csv\NGC6503.csv,9123.033126889291,0.6903688077745224,improved
UGC05764,10,17954.635424012187,1994.9594915569096,26.36420948595227,25.890419126225662,25.890419126225662,30.722229592479685,median(a_bar),196.75975720359003,5.0,success,data\raw\sparc_csv\UGC05764.csv,10,10818.632645258314,1202.0702939175906,19.597116563191943,19.00772597767821,19.00772597767821,25.441284886161093,median(a_obs),1310.0517979452056,5.0,success,data\raw\sparc_csv\UGC05764.csv,7136.002778753873,0.39744626444546566,improved
NGC1003,36,7289.30473685653,208.26584962447228,33.59952450565337,30.80289638902122,30.80289638902122,44.97812093663596,median(a_bar),194.6186893538341,5.0,success,data\raw\sparc_csv\NGC1003.csv,36,1009.2465998898992,28.835617139711403,12.467654009623333,10.918933303916312,10.918933303916312,24.54144733958753,median(a_obs),651.5332556935819,5.0,success,data\raw\sparc_csv\NGC1003.csv,6280.058136966631,0.861544188873474,improved
NGC2403,73,45106.00970070472,626.4723569542322,14.30118246978329,11.332934967986208,11.332934967986208,25.720007102291035,median(a_bar),2903.4940633245387,5.0,success,data\raw\sparc_csv\NGC2403.csv,73,39543.529302226096,549.2156847531402,12.802493721539982,10.083394623946983,10.083394623946983,24.09195041834984,median(a_obs),3197.8056426332287,5.0,success,data\raw\sparc_csv\NGC2403.csv,5562.480398478627,0.12332016144606381,improved
UGC11820,10,4978.308217065332,553.1453574517036,19.90440237463478,18.002353613455455,18.002353613455455,28.86953353518863,median(a_bar),236.4291803158818,5.0,success,data\raw\sparc_csv\UGC11820.csv,10,549.6027352411996,61.06697058235552,9.996146726833516,9.151346956205952,9.151346956205952,17.933193619297015,median(a_obs),744.1450267888005,5.0,success,data\raw\sparc_csv\UGC11820.csv,4428.705481824133,0.8896005005561538,improved
DDO161,31,5237.342304162653,174.57807680542177,15.896939838988898,13.134237873014127,13.134237873014127,23.212862955559288,median(a_bar),203.02229299363057,5.0,success,data\raw\sparc_csv\DDO161.csv,31,2079.4122796664046,69.31374265554682,10.607613893413587,8.976037702494315,8.976037702494315,15.715388394002574,median(a_obs),457.917824074074,5.0,success,data\raw\sparc_csv\DDO161.csv,3157.9300244962483,0.6029642213735614,improved
UGC02487,17,4192.559777904411,262.0349861190257,51.18823889771213,50.31129074813444,50.31129074813444,71.5994356851329,median(a_bar),1511.1649415277432,5.0,success,data\raw\sparc_csv\UGC02487.csv,17,1238.3590441307772,77.39744025817357,32.65039815271554,30.50973084884651,30.50973084884651,46.99175222428153,median(a_obs),3296.7404827071414,5.0,success,data\raw\sparc_csv\UGC02487.csv,2954.200733773634,0.7046293649390128,improved
