galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,status,source_file,rs_kpc
CamB,9,85.2602347635461,10.657529345443262,4.616823441597752,4.238341546495578,4.238341546495578,6.429388876683932,success,data\raw\sparc_csv\CamB.csv,5.0
D512-2,4,44.42579649505268,14.808598831684227,12.493950382400962,12.120965484666463,12.120965484666463,15.331847357401223,success,data\raw\sparc_csv\D512-2.csv,5.0
D564-8,6,171.0846872765243,34.21693745530486,10.049576841590154,8.922903097268849,8.922903097268849,14.60364967885364,success,data\raw\sparc_csv\D564-8.csv,5.0
D631-7,16,1408.0996752940875,93.8733116862725,24.5852323730351,20.37799317168824,20.37799317168824,37.44987909356721,success,data\raw\sparc_csv\D631-7.csv,5.0
DDO064,14,117.32468313000886,9.024975625385297,14.591505838594633,13.224739922391871,13.224739922391871,19.624220723660198,success,data\raw\sparc_csv\DDO064.csv,5.0
DDO154,12,65173.21126264126,5924.837387512842,22.680803776816237,20.60665307997355,20.60665307997355,29.92167950822615,success,data\raw\sparc_csv\DDO154.csv,5.0
DDO161,31,10061.08143490559,335.3693811635197,21.31489016029167,17.133985762300615,17.133985762300615,35.14706475954178,success,data\raw\sparc_csv\DDO161.csv,5.0
DDO168,10,1249.103788811374,138.78930986793046,18.767038568918075,15.870005761432296,15.870005761432296,26.511876158651656,success,data\raw\sparc_csv\DDO168.csv,5.0
DDO170,8,3927.752198160779,561.1074568801113,24.535484730575124,23.428157652526913,23.428157652526913,33.1257828996205,success,data\raw\sparc_csv\DDO170.csv,5.0
ESO079-G014,15,1654.3800429182456,118.17000306558897,28.886704382352235,24.316806338372494,24.316806338372494,47.33809660042448,success,data\raw\sparc_csv\ESO079-G014.csv,5.0
ESO116-G012,15,2783.658648058021,198.8327605755729,34.256228959673145,28.747439246225213,28.747439246225213,54.67824845662861,success,data\raw\sparc_csv\ESO116-G012.csv,5.0
ESO444-G084,7,1807.772735948683,301.29545599144717,31.693305766747677,29.141449409483805,29.141449409483805,45.920148987550576,success,data\raw\sparc_csv\ESO444-G084.csv,5.0
ESO563-G021,30,1799.882839633769,62.064925504612724,62.833991609562375,55.27287951107117,55.27287951107117,114.85985496362042,success,data\raw\sparc_csv\ESO563-G021.csv,5.0
F561-1,6,3.727396887316666,0.7454793774633333,4.42316040510831,3.7915354063565476,3.7915354063565476,7.049640555881638,success,data\raw\sparc_csv\F561-1.csv,5.0
F563-1,17,440.85507068478756,27.553441917799223,56.385143180703565,53.32834210674133,53.32834210674133,70.99710808450486,success,data\raw\sparc_csv\F563-1.csv,5.0
F563-V1,6,0.8705252366716097,0.17410504733432194,1.9045179143635556,1.4816862942157838,1.4816862942157838,3.540197794437052,success,data\raw\sparc_csv\F563-V1.csv,5.0
F563-V2,10,163.2139578963713,18.134884210707924,50.96008217833506,46.65587185515904,46.65587185515904,65.77938651333511,success,data\raw\sparc_csv\F563-V2.csv,5.0
F565-V2,7,259.91505852648993,43.31917642108166,37.81055917316258,35.06586458930031,35.06586458930031,50.17744693982558,success,data\raw\sparc_csv\F565-V2.csv,5.0
F567-2,5,17.73886238544141,4.434715596360353,11.042301659590876,10.000113639481134,10.000113639481134,14.677970900930177,success,data\raw\sparc_csv\F567-2.csv,5.0
F568-1,12,345.21845885219534,31.383496259290485,59.47223904806734,54.75312628904715,54.75312628904715,73.12540599030729,success,data\raw\sparc_csv\F568-1.csv,5.0
F568-3,18,273.7192236787743,16.101130804633783,33.872109024328516,29.491862579800802,29.491862579800802,57.39759669150073,success,data\raw\sparc_csv\F568-3.csv,5.0
F568-V1,15,473.52926519648986,33.82351894260642,55.10144891123267,52.01511688280651,52.01511688280651,69.06028913040046,success,data\raw\sparc_csv\F568-V1.csv,5.0
F571-8,13,1600.7565784063788,133.3963815338649,47.869589054996254,42.509101719601,42.509101719601,87.43390326352718,success,data\raw\sparc_csv\F571-8.csv,5.0
F571-V1,7,206.22811867562163,34.37135311260361,33.703220222549966,31.24685208089494,31.24685208089494,44.70897551734582,success,data\raw\sparc_csv\F571-V1.csv,5.0
F574-1,14,889.9510550971154,68.45777346900887,36.44732159054748,33.96134586918724,33.96134586918724,43.59393488411414,success,data\raw\sparc_csv\F574-1.csv,5.0
F574-2,5,3.3569881462025783,0.8392470365506446,7.294377305917471,7.0283879765900155,7.0283879765900155,10.67319703006014,success,data\raw\sparc_csv\F574-2.csv,5.0
F579-V1,14,190.08538053485486,14.62195234883499,38.4039056946,37.94396701485437,37.94396701485437,45.099505261023666,success,data\raw\sparc_csv\F579-V1.csv,5.0
F583-1,25,905.9755192989469,37.748979970789456,32.7530184892085,28.888411533326234,28.888411533326234,46.46413589104011,success,data\raw\sparc_csv\F583-1.csv,5.0
F583-4,12,209.2956959549521,19.02688145045019,19.018287399996733,17.52284247358904,17.52284247358904,29.886870904664306,success,data\raw\sparc_csv\F583-4.csv,5.0
IC2574,34,7407.339165039874,224.4648231830265,18.897457874966218,16.53977283317584,16.53977283317584,31.285678842116802,success,data\raw\sparc_csv\IC2574.csv,5.0
IC4202,32,1848.9346790206052,59.64305416195501,35.19681356304899,23.806436164007064,23.806436164007064,103.4490504524355,success,data\raw\sparc_csv\IC4202.csv,5.0
KK98-251,15,228.24103710495388,16.30293122178242,7.801556034620339,6.710350414727134,6.710350414727134,12.796481597643815,success,data\raw\sparc_csv\KK98-251.csv,5.0
NGC0024,29,1588.6852570715064,56.738759181125225,32.600734022504845,29.512923434773974,29.512923434773974,64.99919000728987,success,data\raw\sparc_csv\NGC0024.csv,5.0
NGC0055,21,1263.102671900177,63.15513359500885,22.25378039182271,19.687692682063656,19.687692682063656,29.893623831787146,success,data\raw\sparc_csv\NGC0055.csv,5.0
NGC0100,21,473.50032363768526,23.675016181884263,26.631135883562084,21.69843742883075,21.69843742883075,45.62071413459839,success,data\raw\sparc_csv\NGC0100.csv,5.0
NGC0247,26,4174.909865378059,166.99639461512237,32.17495623382241,30.909108428062755,30.909108428062755,47.13302329330468,success,data\raw\sparc_csv\NGC0247.csv,5.0
NGC0289,28,876.4995237495833,32.462945324058644,40.058191306174656,36.515748538996256,36.515748538996256,53.5056015300448,success,data\raw\sparc_csv\NGC0289.csv,5.0
NGC0300,25,2506.837029737307,104.45154290572113,36.12032545823501,33.25830291481817,33.25830291481817,52.13620302728484,success,data\raw\sparc_csv\NGC0300.csv,5.0
NGC0801,13,660.1481632863123,55.01234694052602,37.54543369240542,32.6110804319584,32.6110804319584,68.79850197806365,success,data\raw\sparc_csv\NGC0801.csv,5.0
NGC0891,18,3763.7105302333375,221.39473707254928,70.1860840360565,51.4319321482623,51.4319321482623,150.2111838337591,success,data\raw\sparc_csv\NGC0891.csv,5.0
NGC1003,36,13770.048422932303,393.4299549409229,46.00974087053874,40.85658159929129,40.85658159929129,67.4108499324443,success,data\raw\sparc_csv\NGC1003.csv,5.0
NGC1090,24,2068.9603827491464,89.95479924996289,24.706191586910045,20.397991361388808,20.397991361388808,39.71610520386368,success,data\raw\sparc_csv\NGC1090.csv,5.0
NGC1705,14,891.1222912049766,68.54786855422897,37.390417160510495,35.93965811743569,35.93965811743569,46.604499445859105,success,data\raw\sparc_csv\NGC1705.csv,5.0
NGC2366,26,1674.4880676166317,66.97952270466527,16.360956127974482,14.236530946064086,14.236530946064086,23.448887623758367,success,data\raw\sparc_csv\NGC2366.csv,5.0
NGC2403,73,149477.04491928508,2076.070068323404,37.892611187421245,26.768978311965114,26.768978311965114,74.24712968452481,success,data\raw\sparc_csv\NGC2403.csv,5.0
NGC2683,11,115.00594146870259,11.50059414687026,29.406234995625926,25.07551859881037,25.07551859881037,42.252192317192026,success,data\raw\sparc_csv\NGC2683.csv,5.0
NGC2841,50,20313.747388273114,414.56627323006353,87.46838026602263,73.43405667449385,73.43405667449385,160.70292797295,success,data\raw\sparc_csv\NGC2841.csv,5.0
NGC2903,34,7624.227233506633,231.0371888941404,61.26562024857015,51.309457938713244,51.309457938713244,153.82000025275502,success,data\raw\sparc_csv\NGC2903.csv,5.0
