galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
F568-V1,0.39,17.4,30.4,-1.11,12.25,0.0,776.3076923076922,12.30018699044856,5.099813009551438,5.099813009551438,0.29309270169835855
F568-V1,1.18,46.3,37.1,-2.76,28.99,0.0,1816.686440677966,29.53488941145357,16.765110588546428,16.765110588546428,0.3620974209189293
F568-V1,1.95,69.1,13.1,-2.63,34.78,0.0,2448.6205128205124,36.190430634733914,32.90956936526608,32.90956936526608,0.4762600487013905
F568-V1,2.74,85.2,6.2,-0.03,37.08,0.0,2649.284671532847,39.839484204910946,45.36051579508906,45.36051579508906,0.5324004201301532
F568-V1,3.53,93.2,6.2,3.84,41.2,0.0,2460.691218130312,45.44561289938001,47.754387100619994,47.754387100619994,0.5123861276890557
F568-V1,4.3,100.0,12.4,7.34,44.37,0.0,2325.5813953488373,50.145459927188575,49.854540072811425,49.854540072811425,0.49854540072811426
F568-V1,5.09,108.0,6.2,9.92,45.35,0.0,2291.5520628683694,52.85040439117654,55.14959560882346,55.14959560882346,0.5106444037854024
F568-V1,5.87,112.0,6.2,12.15,44.94,0.0,2136.9676320272574,54.324445106533005,57.675554893466995,57.675554893466995,0.5149603115488125
F568-V1,6.4,113.0,24.9,13.65,45.12,0.0,1995.15625,55.6866792591667,57.3133207408333,57.3133207408333,0.5071975286799407
F568-V1,7.44,113.0,15.5,17.06,45.76,0.0,1716.263440860215,58.58624804400582,54.41375195599418,54.41375195599418,0.48153762792915206
F568-V1,8.21,112.0,13.1,19.87,46.01,0.0,1527.8928136419,60.56174902868691,51.43825097131309,51.43825097131309,0.4592700979581526
F568-V1,9.0,111.0,26.4,22.99,44.52,0.0,1369.0,61.36526210495848,49.63473789504152,49.63473789504152,0.4471598008562299
F568-V1,9.72,111.0,19.4,26.1,43.69,0.0,1267.5925925925926,62.66771347934102,48.33228652065898,48.33228652065898,0.4354260046906215
F568-V1,11.79,113.0,12.5,34.23,40.77,0.0,1083.0364715860899,66.18189471048562,46.81810528951438,46.81810528951438,0.4143195158364104
F568-V1,17.63,118.0,14.6,36.03,33.12,0.0,789.7901304594442,66.49498019748825,51.505019802511754,51.505019802511754,0.43648321866535383
