galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC07089,0.87,20.9,4.7,4.05,19.26,0.0,502.0804597701149,19.68121185293223,1.2187881470677695,1.2187881470677695,0.05831522234774017
UGC07089,1.74,36.4,3.9,8.89,32.89,0.0,761.4712643678159,34.2000481972999,2.199951802700099,2.199951802700099,0.06043823633791481
UGC07089,2.61,43.4,3.9,12.07,42.35,0.0,721.6704980842912,44.21032693696382,-0.8103269369638184,0.8103269369638184,-0.018671127579811486
UGC07089,3.5,51.2,4.7,13.47,46.88,0.0,748.9828571428573,49.00451910851857,2.1954808914814308,2.1954808914814308,0.042880486161746695
UGC07089,4.37,59.7,3.9,14.33,50.13,0.0,815.5812356979405,52.609141640046225,7.090858359953778,7.090858359953778,0.11877484690039829
UGC07089,5.24,64.5,4.4,18.1,50.81,0.0,793.9408396946565,54.819100647415915,9.680899352584085,9.680899352584085,0.150091462830761
UGC07089,6.11,67.9,3.9,21.23,49.78,0.0,754.5679214402619,55.514393698550556,12.38560630144945,12.38560630144945,0.18240951843077244
UGC07089,6.55,72.8,7.3,22.41,49.26,0.0,809.1358778625953,55.84243047541693,16.957569524583064,16.957569524583064,0.23293364731570143
UGC07089,6.98,70.3,6.1,23.49,48.73,0.0,708.035816618911,56.14939561584072,14.15060438415928,14.15060438415928,0.20128882481023158
UGC07089,7.85,73.7,6.1,25.32,47.5,0.0,691.9350318471338,56.51798250725024,17.182017492749765,17.182017492749765,0.23313456570895202
UGC07089,8.72,77.6,6.1,26.4,46.22,0.0,690.5688073394494,56.6597847100343,20.940215289965693,20.940215289965693,0.2698481351799703
UGC07089,9.16,79.1,7.3,26.4,45.5,0.0,683.0578602620087,56.4664055193157,22.633594480684295,22.633594480684295,0.2861389946989165
