galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
F563-1,1.07,22.1,7.17,1.98,18.3,0.0,456.4579439252337,18.40680309016207,3.69319690983793,3.69319690983793,0.16711298234560767
F563-1,1.78,42.7,10.66,4.03,24.51,0.0,1024.3202247191011,25.105489110817057,17.594510889182946,17.594510889182946,0.41204943534386285
F563-1,2.49,60.6,7.69,6.25,27.45,0.0,1474.8433734939758,29.049380910264347,31.550619089735655,31.550619089735655,0.5206372787085092
F563-1,2.97,76.8,11.1,7.78,28.28,0.0,1985.9393939393938,30.968635235647458,45.83136476435254,45.83136476435254,0.5967625620358404
F563-1,3.04,81.6,17.5,8.01,28.2,0.0,2190.315789473684,31.104048082906655,50.495951917093336,50.495951917093336,0.6188229401604576
F563-1,3.19,87.0,8.93,8.49,28.16,0.0,2372.727272727273,31.55738755563649,55.44261244436351,55.44261244436351,0.6372714074064771
F563-1,6.95,90.0,24.8,17.83,29.57,0.0,1165.4676258992806,43.07610532271879,46.92389467728121,46.92389467728121,0.5213766075253468
F563-1,8.58,97.8,9.4,22.83,29.09,0.0,1114.7832167832169,47.26463462834507,50.535365371654926,50.535365371654926,0.5167215273175351
F563-1,9.26,93.7,25.3,24.91,28.73,0.0,948.1306695464364,48.91689805629297,44.78310194370703,44.78310194370703,0.47794132277168655
F563-1,9.89,103.0,23.8,26.69,28.7,0.0,1072.6996966632962,50.57526731953418,52.42473268046582,52.42473268046582,0.5089779871889886
F563-1,10.08,97.4,11.0,27.31,28.73,0.0,941.1468253968254,51.14529561188191,46.25470438811809,46.25470438811809,0.47489429556589413
F563-1,11.84,106.5,9.48,30.86,27.77,0.0,957.9603040540541,54.51014191605058,51.98985808394942,51.98985808394942,0.4881676815394312
F563-1,14.56,112.0,11.0,30.44,25.73,0.0,861.5384615384615,56.19093586687329,55.80906413312671,55.80906413312671,0.49829521547434563
F563-1,15.43,111.5,9.4,30.7,25.11,0.0,805.7193778353857,56.919842540007956,54.580157459992044,54.580157459992044,0.48950813865463716
F563-1,17.93,111.0,24.3,33.36,23.48,0.0,687.1723368655884,59.880324028580034,51.119675971419966,51.119675971419966,0.46053762136414383
F563-1,19.02,112.5,7.75,34.35,22.95,0.0,665.4179810725552,61.06894747890868,51.43105252109132,51.43105252109132,0.4571649112985895
F563-1,20.1,106.0,10.7,35.34,22.07,0.0,559.0049751243781,62.04183535003222,43.95816464996778,43.95816464996778,0.41469966650913
