galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC02487,9.93,377.0,10.3,-13.26,255.96,207.88,14313.091641490433,330.0082477757185,46.99175222428153,46.99175222428153,0.12464655762408892
UGC02487,10.05,377.0,19.7,-13.37,257.66,206.72,14142.189054726367,330.844044205376,46.15595579462399,46.15595579462399,0.12242959096717239
UGC02487,10.35,378.0,10.8,-13.47,261.62,204.38,13805.217391304348,333.0734516156339,44.92654838436607,44.92654838436607,0.11885330260414305
UGC02487,15.07,367.0,10.7,-11.85,272.35,172.87,8937.558062375581,331.34196525030495,35.65803474969505,35.65803474969505,0.09716085762859686
UGC02487,20.09,364.0,6.67,13.97,269.96,151.39,6595.121951219512,325.3420425697997,38.65795743020033,38.65795743020033,0.1062031797532976
UGC02487,25.12,375.0,6.19,27.34,262.34,134.72,5598.12898089172,319.44203792738455,55.55796207261545,55.55796207261545,0.14815456552697454
UGC02487,30.14,383.0,3.82,34.12,253.37,123.32,4866.92103516921,315.939106292254,67.060893707746,67.060893707746,0.17509371725260053
UGC02487,35.17,378.0,2.21,36.15,235.34,114.11,4062.6670457776513,306.4005643148671,71.5994356851329,71.5994356851329,0.18941649652151563
UGC02487,40.19,364.0,4.0,36.15,219.18,106.71,3296.7404827071414,298.9104987517452,65.0895012482548,65.0895012482548,0.17881731112157914
UGC02487,45.21,349.0,3.0,35.84,206.41,100.63,2694.116345941163,293.95289649800867,55.04710350199133,55.04710350199133,0.15772809026358547
UGC02487,50.24,338.0,3.08,37.87,194.11,95.47,2273.9649681528663,289.590610635242,48.409389364758,48.409389364758,0.1432230454578639
UGC02487,55.26,332.0,2.19,41.62,183.23,91.03,1994.6435034382919,286.5769496286788,45.42305037132121,45.42305037132121,0.136816416781088
UGC02487,60.28,330.0,1.61,44.55,174.98,87.16,1806.5693430656934,285.3638604174211,44.63613958257889,44.63613958257889,0.13526102903811785
UGC02487,65.31,329.0,2.2,46.17,166.27,83.74,1657.341907824223,283.897556496145,45.102443503855,45.102443503855,0.13708949393268996
UGC02487,70.33,330.0,3.53,46.48,159.17,80.69,1548.4146168064838,283.36959055899996,46.63040944100004,46.63040944100004,0.14130427103333346
UGC02487,75.35,332.0,13.4,44.86,152.96,77.96,1462.8268082282682,283.2072762027994,48.79272379720061,48.79272379720061,0.14696603553373677
UGC02487,80.38,333.0,15.3,42.32,147.51,75.48,1379.5595919382931,283.4473581413357,49.55264185866429,49.55264185866429,0.14880673230830116
