galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
DDO154,0.49,13.8,1.6,3.74,12.31,0.0,388.6530612244899,12.865601423952167,0.9343985760478333,0.9343985760478333,0.06771004174259661
DDO154,0.99,21.6,0.8,7.46,14.55,0.0,471.2727272727273,16.660642983904495,4.9393570160955065,4.9393570160955065,0.22867393593034752
DDO154,1.48,28.9,0.7,10.87,12.95,0.0,564.331081081081,18.117332244658034,10.782667755341965,10.782667755341965,0.37310269049626177
DDO154,1.97,34.3,0.5,13.32,11.54,0.0,597.2030456852791,20.281525288851206,14.01847471114879,14.01847471114879,0.40870188662241375
DDO154,2.47,38.2,0.4,14.77,10.18,0.0,590.7854251012146,22.431985603296607,15.768014396703396,15.768014396703396,0.4127752459869999
DDO154,2.96,42.0,0.2,16.2,9.16,0.0,595.9459459459459,24.98320340866301,17.01679659133699,17.01679659133699,0.4051618236032617
DDO154,3.46,44.6,0.2,17.6,8.37,0.0,574.9017341040462,27.734472354504838,16.865527645495163,16.865527645495163,0.37815084406939825
DDO154,3.95,46.3,0.2,17.91,7.77,0.0,542.706329113924,29.784979138348085,16.515020861651912,16.515020861651912,0.35669591493848624
DDO154,4.44,47.4,0.3,17.48,7.29,0.0,506.0270270270269,31.396179524087707,16.003820475912292,16.003820475912292,0.33763334337367706
DDO154,4.94,48.2,0.6,16.93,6.89,0.0,470.2914979757085,32.967769137672974,15.232230862327029,15.232230862327029,0.31602138718520806
DDO154,5.43,47.4,0.7,16.28,6.55,0.0,413.76795580110496,34.35969474054839,13.040305259451607,13.040305259451607,0.2751119253048862
DDO154,5.92,45.5,1.3,15.64,6.26,0.0,349.7043918918919,35.57667057160392,9.92332942839608,9.92332942839608,0.21809515227244133
