galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
F574-1,0.47,15.3,4.4,0.25,12.99,0.0,498.0638297872341,12.992405473968244,2.3075945260317567,2.3075945260317567,0.15082317163606251
F574-1,1.41,41.0,4.36,0.88,32.88,0.0,1192.1985815602839,33.71646935758407,7.283530642415933,7.283530642415933,0.177647088839413
F574-1,2.35,60.7,4.4,1.88,41.13,0.0,1567.868085106383,44.140819053842165,16.559180946157838,16.559180946157838,0.27280363996965135
F574-1,3.29,74.9,4.4,3.41,42.43,0.0,1705.1702127659578,49.75856863837343,25.141431361626573,25.141431361626573,0.33566664034214383
F574-1,4.22,83.0,6.28,5.43,44.37,0.0,1632.4644549763034,56.81687589776357,26.183124102236427,26.183124102236427,0.315459326532969
F574-1,5.17,86.8,4.4,7.8,46.69,0.0,1457.2998065764023,64.01542782086115,22.78457217913885,22.78457217913885,0.26249507118823556
F574-1,6.11,89.4,4.4,10.44,48.85,0.0,1308.0785597381343,70.43340366791705,18.966596332082958,18.966596332082958,0.21215432138795254
F574-1,7.05,92.5,4.4,13.15,49.34,0.0,1213.6524822695035,75.30560867906041,17.194391320939587,17.194391320939587,0.18588531157772528
F574-1,7.99,94.7,4.4,16.07,50.15,0.0,1122.4142678347935,80.17040604305707,14.529593956942932,14.529593956942932,0.1534276025020373
F574-1,8.92,96.3,4.4,18.98,49.17,0.0,1039.6513452914796,83.67373245119681,12.626267548803185,12.626267548803185,0.1311138893956717
F574-1,9.87,97.8,4.4,21.99,49.76,0.0,969.082066869301,88.00292681559958,9.797073184400418,9.797073184400418,0.10017457243763209
F574-1,10.79,98.8,4.62,25.0,50.33,0.0,904.6746987951807,91.96234142357741,6.837658576422584,6.837658576422584,0.06920707061156461
F574-1,11.8,99.5,4.4,27.82,50.68,0.0,839.0042372881355,95.75422719229758,3.745772807702423,3.745772807702423,0.03764595786635601
F574-1,12.6,99.7,5.14,30.02,50.19,0.0,788.8960317460318,98.17499500475566,1.5250049952443447,1.5250049952443447,0.01529593776574067
