galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
F579-V1,0.42,35.7,9.1,-1.7,15.39,0.0,3034.5000000000005,15.483607460795433,20.21639253920457,20.21639253920457,0.5662855052998479
F579-V1,1.47,83.3,9.3,-4.3,40.7,0.0,4720.333333333333,47.51907439909558,35.78092560090442,35.78092560090442,0.42954292438060526
F579-V1,2.11,94.2,10.4,-3.8,48.7,0.0,4205.5165876777255,59.998461578630916,34.20153842136909,34.20153842136909,0.36307365627780347
F579-V1,2.84,97.6,9.1,-0.8,53.6,0.0,3354.140845070422,69.59971196749744,28.000288032502553,28.000288032502553,0.28688819705432944
F579-V1,3.9,101.0,9.1,5.9,57.61,0.0,2615.641025641026,79.78829386632978,21.21170613367022,21.21170613367022,0.21001689241257643
F579-V1,4.74,105.0,16.7,10.47,63.1,0.0,2325.9493670886077,88.76571844990575,16.234281550094252,16.234281550094252,0.15461220523899288
F579-V1,5.69,106.0,9.1,13.24,67.96,0.0,1974.6924428822495,96.81430163694293,9.185698363057071,9.185698363057071,0.0866575317269535
F579-V1,6.32,108.0,11.5,14.88,69.85,0.0,1845.5696202531644,100.78022035451009,7.219779645489908,7.219779645489908,0.06684981153231397
F579-V1,7.37,110.0,23.0,17.96,72.36,0.0,1641.7910447761194,106.60772311765284,3.3922768823471614,3.3922768823471614,0.030838880748610558
F579-V1,8.21,112.0,19.7,20.83,72.55,0.0,1527.8928136419,109.88142170228826,2.1185782977117356,2.1185782977117356,0.018915877658140495
F579-V1,9.16,113.0,9.1,23.19,73.73,0.0,1393.995633187773,113.86752437581734,-0.8675243758173394,0.8675243758173394,-0.007677206865640172
F579-V1,10.85,114.0,9.1,26.37,73.37,0.0,1197.7880184331798,118.63460171291905,-4.63460171291905,4.63460171291905,-0.04065440099051798
F579-V1,12.21,114.0,9.1,28.32,69.96,0.0,1064.3734643734642,120.19676192154598,-6.196761921545985,6.196761921545985,-0.05435756071531565
F579-V1,15.16,114.0,11.2,33.04,63.57,0.0,857.2559366754617,124.16477576917735,-10.164775769177353,10.164775769177353,-0.0891646997296259
