galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC03580,0.11,56.2,28.5,-1.03,10.27,44.15,28713.090909090915,45.34044882883274,10.859551171167261,10.859551171167261,0.19323044788553845
UGC03580,0.23,64.6,22.7,-1.23,20.21,75.69,18144.173913043473,78.43481887340896,-13.834818873408963,13.834818873408963,-0.2141612828701078
UGC03580,0.34,70.2,17.2,-1.32,28.3,90.09,14494.235294117645,94.50887900988177,-24.308879009881764,24.308879009881764,-0.34628032777609347
UGC03580,0.46,71.6,11.7,-1.38,36.17,97.29,11144.695652173912,103.8682103037521,-32.2682103037521,32.2682103037521,-0.45067332826469414
UGC03580,0.57,71.0,11.3,-1.41,42.64,98.4,8843.859649122807,107.31172075642284,-36.311720756422844,36.311720756422844,-0.5114326867101809
UGC03580,0.69,69.0,9.37,-1.36,48.95,99.3,6900.000000000001,110.77693718326243,-41.77693718326243,41.77693718326243,-0.6054628577284411
UGC03580,0.8,67.7,6.23,-1.23,54.16,100.36,5729.112499999999,114.10537152870793,-46.40537152870793,46.40537152870793,-0.6854560048553608
UGC03580,0.92,66.9,4.0,-0.91,59.24,100.84,4864.79347826087,117.01281558745808,-50.11281558745807,50.11281558745807,-0.7490704871069965
UGC03580,1.03,66.6,3.1,0.49,63.4,101.52,4306.368932038834,119.7463912262264,-53.1463912262264,53.1463912262264,-0.7979938622556517
UGC03580,1.14,66.8,3.02,1.27,67.15,100.91,3914.245614035088,121.2709825626249,-54.4709825626249,54.4709825626249,-0.8154338706979776
UGC03580,1.26,67.4,3.09,1.89,70.78,99.65,3605.3650793650804,122.29714106104227,-54.89714106104226,54.89714106104226,-0.8144976418552263
UGC03580,1.37,68.3,2.71,2.47,73.73,97.83,3405.0291970802914,122.58062820733328,-54.28062820733328,54.28062820733328,-0.7947383339287449
UGC03580,1.49,69.6,2.75,2.98,76.63,95.14,3251.114093959731,122.25278979109012,-52.65278979109013,52.65278979109013,-0.7565056004466973
UGC03580,1.61,71.2,2.61,3.52,79.45,92.26,3148.72049689441,121.8592967799522,-50.6592967799522,50.6592967799522,-0.7115069772465197
UGC03580,1.71,72.9,4.09,4.06,81.6,89.85,3107.8421052631584,121.49548885330874,-48.59548885330874,48.59548885330874,-0.6666047853677467
UGC03580,1.83,74.9,6.17,4.62,83.69,87.09,3065.579234972678,120.92607788109426,-46.02607788109425,46.02607788109425,-0.614500372244249
UGC03580,1.94,77.0,7.74,5.19,85.04,84.69,3056.1855670103096,120.18411505562818,-43.18411505562818,43.18411505562818,-0.5608326630601063
UGC03580,2.06,79.2,5.36,5.77,86.25,82.25,3044.970873786408,119.37548161873303,-40.17548161873303,40.17548161873303,-0.50726618205471
UGC03580,2.18,81.4,6.34,6.34,87.49,79.96,3039.4311926605506,118.7492526785094,-37.34925267850939,37.34925267850939,-0.4588360279915158
UGC03580,2.29,83.6,2.03,6.95,88.91,78.04,3051.9475982532745,118.5606170349348,-34.9606170349348,34.9606170349348,-0.4181891989824737
UGC03580,2.4,85.7,1.94,7.56,90.4,76.26,3060.204166666667,118.56639031236665,-32.86639031236665,32.86639031236665,-0.38350513783391654
UGC03580,2.52,87.8,1.7,8.2,91.9,74.41,3059.0634920634916,118.58661733814853,-30.78661733814853,30.78661733814853,-0.35064484439804705
UGC03580,2.63,89.7,2.16,8.89,92.95,72.86,3059.349809885932,118.49220190250695,-28.792201902506946,28.792201902506946,-0.3209832988016382
UGC03580,2.75,91.4,1.88,9.58,93.65,71.23,3037.8036363636365,118.10545927985069,-26.705459279850686,26.705459279850686,-0.29218226783206436
UGC03580,2.86,92.8,3.36,10.31,93.97,69.85,3011.1328671328674,117.59577888557256,-24.79577888557256,24.79577888557256,-0.2671958931634974
UGC03580,2.98,94.1,1.4,11.11,94.1,68.43,2971.412751677852,116.93585725389997,-22.835857253899974,22.835857253899974,-0.24267648516365542
UGC03580,3.09,95.2,5.51,11.94,93.98,67.21,2933.022653721683,116.21134114923754,-21.011341149237538,21.011341149237538,-0.22070736501299934
UGC03580,3.2,96.1,6.23,12.77,93.74,66.06,2886.0031249999997,115.44380369558372,-19.34380369558373,19.34380369558373,-0.20128827987079845
UGC03580,4.52,97.4,2.3,19.31,88.08,55.57,2098.840707964602,105.9814847589166,-8.581484758916588,8.581484758916588,-0.08810559300735717
UGC03580,4.69,96.9,11.7,19.73,87.36,54.55,2002.049040511727,104.92774996017245,-8.027749960172443,8.027749960172443,-0.08284571682324501
UGC03580,6.03,96.8,2.3,22.95,81.5,48.11,1553.9369817578772,97.45056342425359,-0.6505634242535905,0.6505634242535905,-0.006720696531545356
UGC03580,7.53,105.0,1.02,26.37,76.78,43.05,1464.1434262948208,93.04300995616171,11.956990043838289,11.956990043838289,0.11387609565560275
UGC03580,8.58,110.0,7.12,28.87,73.0,40.33,1410.2564102564102,91.42509194212612,18.574908057873884,18.574908057873884,0.1688628005261262
UGC03580,8.7,110.0,5.26,29.07,72.69,40.05,1390.8045977011495,91.38940722972997,18.61059277027003,18.61059277027003,0.16918720700245482
UGC03580,8.82,110.0,5.16,29.38,72.31,39.78,1371.8820861678005,91.34149180230409,18.65850819769591,18.65850819769591,0.16962280179723555
UGC03580,9.03,111.0,0.82,29.9,71.64,39.31,1364.451827242525,91.2703923663862,19.729607633613796,19.729607633613796,0.1777442129154396
UGC03580,9.05,111.0,7.81,29.9,71.58,39.27,1361.4364640883978,91.25427933656967,19.745720663430333,19.745720663430333,0.1778893753462192
